tank_id,stage,temperature,speed,maxcurv,TBF,wavespeedBL,headtailampBL,wavelengthBL
1,a,32,1,4.97483333333333,4.72258916120677,1.62116666666667,0.0145,0.395
1,a,32,1.5,5.587125,4.7285626859526,1.320875,0.015375,0.34275
1,a,32,2,4.9582,7.19633953627272,0.284,0.017,0.0478
1,a,32,3,6.281875,8.69487450518629,0.241375,0.014125,0.031125
1,a,32,4,4.34114285714286,8.0382504008213,1.14471428571429,0.0282857142857143,0.321428571428571
1,a,32,5,5.7968,8.80443856661118,0.3201,0.0173,0.0408
1,j,32,1.5,7.22225,14.006700316511,0.903,0.03475,0.049
1,j,32,2,5.266,13.8196521546472,5.19133333333333,0.0206666666666667,0.321
1,j,32,3,0.765,22.9064039408867,12.7115,0.023,0.6045
1,j,32,4,6.496,14.109887120903,0.699666666666667,0.023,0.0496666666666667
1,j,32,5,7.30533333333333,18.2261927528709,1.31933333333333,0.032,0.0676666666666667
1,l,32,1.5,7.71633333333333,18.1510918103978,1.67566666666667,0.0416666666666667,0.101333333333333
1,l,32,2.6,14.4916666666667,28.7037037037037,1.805,0.0416666666666667,0.0653333333333333
1,l,32,3,4.362875,24.5496580426885,12.31175,0.0425,0.53375
1,l,32,4,10.7174,27.9642899167305,2.78275,0.0538,0.0965
1,l,32,5,7.54025,29.2373769117955,9.14625,0.053,0.24925
2,a,28,1,6.3332,4.41514407844473,0.1602,0.0164,0.0384
2,a,28,1.5,6.6465,11.830732566482,1.51625,0.01425,0.1565
2,a,28,2,12.6575,8.56251461171853,0.1925,0.018,0.02825
2,a,28,3,4.94733333333333,5.31981075765776,0.176666666666667,0.014,0.0336666666666667
2,a,28,4,0.2515,9.18498001159582,11.3705,0.012625,1.59775
2,a,28,5,0.250888888888889,9.2345756300268,8.09955555555556,0.02,1.23233333333333
2,j,28,1.5,8.83666666666667,16.5304252635587,0.454,0.02,0.0273333333333333
2,j,28,2,13.52525,15.8585234789764,0.806,0.02575,0.05175
2,j,28,3,7.9002,16.4309393822404,3.471,0.019,0.186
2,j,28,4,8.863,14.2150247413405,0.692333333333333,0.0266666666666667,0.0486666666666667
2,j,28,5,8.862,12.7757919820577,0.67325,0.0335,0.06025
2,l,28,1.5,11.7275,29.2869269949066,3.9515,0.0435,0.1285
2,l,28,2.6,10.503,29.4175797726022,2.6215,0.05575,0.09075
2,l,28,3,7.61057142857143,28.4144955873341,5.92371428571428,0.0394285714285714,0.224
2,l,28,4,9.66566666666667,25.5494361395227,3.00066666666667,0.0503333333333333,0.117
2,l,28,5,9.2936,25.0062539086929,2.1532,0.0434,0.087
3,j,32,1.5,36.258,9.25925925925926,0.074,0.014,0.008
3,l,32,2.6,86.248,37.037037037037,0.328,0.038,0.009
3,a,32,1,3.9654,5.63019405656251,2.5064,0.0184,0.2864
3,a,32,1.5,5.17542857142857,5.59927486338916,1.79716666666667,0.0194285714285714,0.645
3,a,32,2,4.3555,5.55344766928606,1.901,0.0293333333333333,0.586
3,j,32,1.5,8.39166666666667,11.4849581103451,0.699166666666667,0.0233333333333333,0.0588333333333333
3,j,32,2,6.37966666666667,15.876990241397,0.68,0.015,0.0406666666666667
3,j,32,3,7.23966666666667,13.6626691421212,0.712666666666667,0.0183333333333333,0.0526666666666667
3,j,32,4,7.438,18.883697192084,1.209,0.0213333333333333,0.0616666666666667
3,j,32,5,6.8375,26.9086126690144,1.488,0.0245,0.05525
3,l,32,1.5,3.935,29.4372294372295,7.343,0.041,0.2545
3,l,32,2.6,10.0576666666667,28.2130056323605,1.94166666666667,0.036,0.0703333333333333
3,l,32,3,13.074,25.5019473606146,3.0975,0.047125,0.136625
3,l,32,4,8.7,25.2969073808385,2.824,0.05025,0.116
3,l,32,5,7.78875,24.2909971613844,2.3375,0.047,0.097
4,a,28,1,8.6024,6.11349242408024,0.1262,0.0074,0.0208
4,a,28,1.5,5.8775,4.8362603598284,3.2935,0.0316666666666667,0.416166666666667
4,a,28,2,6.3208,6.17184532316337,0.1976,0.0276,0.0418
4,a,28,3,4.36693333333333,8.07438513003456,3.4576,0.0132,0.523666666666667
4,a,28,4,3.24773333333333,8.81267156260964,5.1896,0.0148666666666667,0.585666666666667
4,a,28,5,3.01328571428571,8.73317426935803,4.26,0.0216428571428571,0.471642857142857
4,j,28,1.5,3.463,12.2898514277825,7.3956,0.0314,0.5322
4,j,28,2,9.3305,11.9135633442862,0.57225,0.03325,0.04575
4,j,28,3,0.52025,14.4525952326704,9.484,0.01875,0.664
4,j,28,4,0.608,16.1897551579576,11.0556666666667,0.025,0.714666666666667
4,j,28,5,0.516666666666667,17.9757591442374,11.4026666666667,0.024,0.674333333333333
4,l,28,1.5,9.133,21.7391304347826,2.385,0.032,0.11
4,l,28,2.6,1.292,39.6825396825397,18.2243333333333,0.062,0.624333333333333
4,l,28,3,6.6516,24.6151504938158,17.2914,0.0368,0.6518
4,l,28,4,0.936,19.8163089058016,15.729,0.046,0.80525
4,l,28,5,1.00533333333333,23.1243250111175,18.6193333333333,0.0373333333333333,0.812
5,a,32,1,7.6276,5.4803598227253,0.14275,0.0116,0.029
5,a,32,1.5,5.92271428571429,7.7710185639588,0.191142857142857,0.0128571428571429,0.0284285714285714
5,a,32,2,6.620375,8.26809989328451,0.171625,0.015375,0.0215
5,a,32,3,4.77971428571429,6.02061528141028,0.227428571428571,0.0202857142857143,0.0468571428571429
5,a,32,4,5.845,11.0242146412008,0.3442,0.0134,0.0304
5,a,32,5,5.686375,12.7306099800566,0.343285714285714,0.008375,0.027
5,j,32,1.5,7.38933333333333,13.4377701409108,0.872166666666667,0.032,0.0745
5,j,32,2,7.4675,12.049062049062,0.7175,0.0195,0.061
5,j,32,3,6.3065,17.9151951958532,0.861,0.0335,0.0485
5,j,32,4,4.2065,17.6164215686275,7.882,0.0275,0.4125
5,j,32,5,5.14975,18.6630584437165,5.527,0.0235,0.3145
5,l,32,1.5,8.053,25.1515151515151,2.2305,0.048,0.1045
5,l,32,2.6,8.9392,21.1064948424304,2.1902,0.049,0.1144
5,l,32,3,9.888,19.6735863958983,2.2385,0.0596666666666667,0.1235
5,l,32,4,5.37275,21.5392246642246,14.021,0.06275,0.529
5,l,32,5,7.93233333333333,26.6290726817043,2.39166666666667,0.038,0.0886666666666667
6,a,28,1,6.15316666666667,4.24999889357081,0.157166666666667,0.0201666666666667,0.0438333333333333
6,a,28,1.5,12.0451666666667,8.16246279322741,0.175333333333333,0.0155,0.021
6,a,28,2,6.43455555555555,7.74008969114201,0.19725,0.0111111111111111,0.023875
6,a,28,3,7.7228,7.67620363342623,0.2456,0.0132,0.046
6,a,28,4,7.8916,9.80157070706024,0.164,0.014,0.026
6,a,28,5,7.4648,9.83937207032002,0.2612,0.0148,0.0308
6,j,28,1.5,2.84583333333333,11.8270502645503,6.18983333333333,0.0255,0.496333333333333
6,j,28,2,1.2445,12.8643543396841,10.088,0.047,0.8435
6,j,28,3,0.459,14.8809523809524,9.1995,0.0225,0.63275
6,j,28,4,0.4285,13.7321898122669,10.3015,0.0245,0.7415
6,j,28,5,0.679,20.4520441454282,14.9646,0.0268,0.7166
6,l,28,1.5,7.0242,17.4982970127254,4.287,0.045,0.284
6,l,28,2.6,2.26566666666667,21.2830198375989,14.6063333333333,0.0316666666666667,0.680333333333333
6,l,28,3,4.4626,18.8243983295695,14.3992,0.0332,0.8088
6,l,28,4,1.5995,22.7201932764592,20.45525,0.041,0.937
6,l,28,5,0.94775,20.7380057286072,16.161,0.05175,0.80375
7,a,32,1,7.1528,8.75773889577571,0.8194,0.019,0.072
7,a,32,1.5,5.164875,5.88354964629767,0.186875,0.014,0.040375
7,a,32,2,8.6216,10.2385317877146,0.2878,0.0096,0.0276
7,a,32,3,7.127,8.34456581565412,0.2272,0.0212,0.0266
7,a,32,4,6.57385714285714,8.84801325004296,0.269857142857143,0.0162857142857143,0.0355714285714286
7,a,32,5,7.48014285714286,10.6364247031828,0.216428571428571,0.0141428571428571,0.0205714285714286
7,j,32,1.5,8.963,10.6371211565371,3.60083333333333,0.0396666666666667,0.309833333333333
7,j,32,2,4.33825,13.4609752667995,8.00275,0.0255,0.595
7,j,32,3,10.57925,13.4445512049679,0.9205,0.0395,0.0695
7,j,32,4,8.437,16.0324772301803,0.891,0.03425,0.0565
7,j,32,5,7.10975,16.776947898671,0.88825,0.0295,0.0535
7,l,32,1.5,1.4085,38.4504608294931,26.582,0.0495,0.72475
7,l,32,2.6,8.4482,22.3353977703445,2.5034,0.0418,0.1224
7,l,32,3,7.332,34.7329472329473,3.028,0.05375,0.08675
7,l,32,4,10.3885,37.9219136334886,4.6535,0.0445,0.12075
7,l,32,5,15.81025,37.9535912430649,2.962,0.05175,0.08275
8,a,28,1,5.836,7.53028057823256,0.1615,0.01425,0.02975
8,a,28,1.5,5.0256,4.95799830118715,0.1582,0.0252,0.032
8,a,28,2,4.5444,3.16228089536533,0.1314,0.0196,0.0514
8,a,28,3,5.531,7.75235852942741,0.1874,0.0116,0.0242
8,a,28,4,6.49914285714286,9.96546111946305,0.223,0.0185714285714286,0.0222857142857143
8,a,28,5,6.05185714285714,10.1812251737804,0.234857142857143,0.0144285714285714,0.0241428571428571
8,j,28,1.5,15.596,14.4256560536459,0.8852,0.0366,0.0724
8,j,28,2,15.553,15.0122549019608,0.7535,0.024,0.054
8,j,28,3,8.21775,14.1777257351028,0.787,0.03625,0.0535
8,j,28,4,9.90325,14.8812935091829,0.68875,0.03075,0.04625
8,j,28,5,7.258,16.6800180951125,0.831,0.03475,0.0495
8,l,28,1.5,10.11175,22.50261146847,2.05575,0.04175,0.09175
8,l,28,2.6,11.306,24.2690058479532,2.8115,0.035,0.1215
8,l,28,3,8.44,19.2730195908712,1.5895,0.048,0.0791666666666667
8,l,28,4,9.7325,16.1206963802787,1.731,0.0535,0.0985
8,l,28,5,9.02625,23.8433326458,2.65375,0.0385,0.11125
9,a,32,1,5.40266666666667,4.34144508775991,0.131666666666667,0.0143333333333333,0.0403333333333333
9,a,32,1.5,5.7226,8.52906835137476,0.1944,0.0136,0.024
9,a,32,2,7.06575,7.03135670072307,0.18725,0.01225,0.03025
9,a,32,3,18.5525,14.9253731343284,0.2355,0.013,0.008
9,a,32,4,5.9792,7.22164244284992,0.2174,0.0194,0.0204
9,a,32,5,8.383,11.3364578505969,0.28125,0.00875,0.025
9,l,32,1.5,11.157,27.027027027027,5.339,0.05,0.198
9,l,32,2.6,14.3985,39.3939393939394,3.0045,0.043,0.0755
9,l,32,3,11.8468333333333,27.007927007927,3.341,0.0373333333333333,0.1194
9,l,32,4,7.74675,28.3323358413133,3.09175,0.037,0.1105
9,l,32,5,12.6385,27.9275304799979,2.1775,0.043,0.0815
10,a,28,1,7.1515,6.41889393006317,0.147333333333333,0.0223333333333333,0.0256666666666667
10,a,28,1.5,5.81225,7.63187623698762,0.20425,0.022,0.03425
10,a,28,2,7.0745,5.55943946487402,0.150333333333333,0.0188333333333333,0.0396666666666667
10,a,28,3,7.30771428571429,9.00266984922801,0.239857142857143,0.019,0.0275714285714286
10,a,28,4,7.07933333333333,10.5264574988874,0.324333333333333,0.00833333333333333,0.0316666666666667
10,a,28,5,6.82771428571429,11.7005550401979,0.281571428571429,0.011,0.0244285714285714
10,j,28,1.5,7.94733333333333,11.1404056272482,0.655333333333333,0.0288333333333333,0.0645
10,j,28,2,11.98,14.4927536231884,0.584,0.057,0.04
10,j,28,3,7.021,16.2632929959663,0.768666666666667,0.0256666666666667,0.044
10,j,28,4,9.84366666666667,13.6402841197362,0.459333333333333,0.023,0.0333333333333333
10,j,28,5,6.37933333333333,15.4781345075283,1.01833333333333,0.031,0.0666666666666667
10,l,28,1.5,7.24866666666667,17.8914066426059,1.781,0.0326666666666667,0.0993333333333333
10,l,28,2.6,9.793,22.8715728715729,2.0955,0.03825,0.0915
10,l,28,3,14.318,20.0975856396242,2.3348,0.0354,0.118
10,l,28,4,7.8625,20.3455439023155,1.81325,0.032,0.09025
10,l,28,5,9.6214,23.4206173230563,2.365,0.049,0.1046
